,price,bedrooms,bathrooms,floors,waterfront,view,city,country,sqft_total
0,313000.0,3.0,2.0,2.0,0,0,Shoreline,USA,2680.0
1,1154353.57142825,5.0,2.0,2.0,0,4,Seattle,USA,7300.0
2,342000.0,3.0,2.0,1.0,0,0,Kent,USA,3860.0
3,420000.0,3.0,2.0,1.0,0,0,Bellevue,USA,4000.0
4,550000.0,4.0,2.0,1.0,0,0,Redmond,USA,3880.0
5,490000.0,2.0,1.0,1.0,0,0,Seattle,USA,1760.0
6,335000.0,2.0,2.0,1.0,0,0,Redmond,USA,2700.0
7,482000.0,4.0,2.0,2.0,0,0,Maple Valley,USA,5420.0
8,452500.0,3.0,2.0,1.0,0,0,North Bend,USA,4860.0
9,640000.0,4.0,2.0,2.0,0,0,Seattle,USA,3040.0
10,463000.0,3.0,2.0,1.0,0,0,Lake Forest Park,USA,3420.0
11,1154353.57142825,4.0,2.0,2.0,0,0,Seattle,USA,5840.0
12,588500.0,3.0,2.0,1.0,0,0,Sammamish,USA,4660.0
13,365000.0,3.0,1.0,1.0,0,0,Seattle,USA,2180.0
14,1154353.57142825,5.0,3.0,2.0,0,0,Seattle,USA,5820.0
15,242500.0,3.0,2.0,1.0,0,0,Kent,USA,2400.0
16,419000.0,3.0,2.0,1.0,0,0,Bellevue,USA,3140.0
17,367500.0,4.0,3.0,2.0,0,0,Auburn,USA,6220.0
18,257950.0,3.0,2.0,1.0,0,0,Des Moines,USA,2740.0
19,275000.0,3.0,2.0,1.0,0,0,North Bend,USA,2360.0
20,750000.0,3.0,2.0,2.0,0,0,Seattle,USA,4480.0
21,435000.0,4.0,1.0,1.0,0,0,Bellevue,USA,2900.0
22,626000.0,3.0,2.0,2.0,0,0,Seattle,USA,3500.0
23,612500.0,4.0,2.0,2.0,0,0,Bothell,USA,5460.0
24,495000.0,4.0,2.0,1.0,0,0,Seattle,USA,3200.0
25,285000.0,3.0,2.0,1.0,0,0,Federal Way,USA,4180.0
26,615000.0,3.0,2.0,1.0,0,0,Seattle,USA,4720.0
27,698000.0,4.0,2.0,2.0,0,0,Kirkland,USA,4400.0
28,675000.0,5.0,2.0,2.0,0,0,Issaquah,USA,5640.0
29,790000.0,3.0,2.0,1.0,0,0,Seattle,USA,5200.0
30,382500.0,4.0,2.0,1.0,0,0,Kirkland,USA,3120.0
31,499950.0,4.0,2.0,2.0,0,0,Woodinville,USA,5720.0
32,650000.0,4.0,2.0,2.0,0,1,Seattle,USA,3640.0
33,625000.0,4.0,2.0,2.0,0,0,Shoreline,USA,5640.0
34,400000.0,4.0,2.0,2.0,0,0,Auburn,USA,7260.0
35,604000.0,3.0,2.0,2.0,0,2,Federal Way,USA,6480.0
36,440000.0,2.0,1.0,1.0,0,0,Seattle,USA,1600.0
37,287200.0,3.0,3.0,1.0,0,0,Maple Valley,USA,3700.0
38,403000.0,3.0,2.0,1.0,0,2,Normandy Park,USA,3920.0
39,750000.0,3.0,2.0,1.0,0,2,Seattle,USA,4780.0
40,335000.0,3.0,2.0,1.0,0,0,Fall City,USA,3160.0
41,260000.0,4.0,2.0,1.0,0,0,Renton,USA,2960.0
42,308500.0,2.0,1.0,1.0,0,0,Shoreline,USA,1700.0
43,439950.0,3.0,2.0,2.0,0,0,Seattle,USA,3540.0
44,235000.0,2.0,1.0,1.0,0,0,Seattle,USA,2420.0
45,315000.0,3.0,1.0,1.0,0,0,Woodinville,USA,2320.0
46,437500.0,3.0,2.0,2.0,0,0,Issaquah,USA,3940.0
47,407500.0,3.0,2.0,2.0,0,0,Renton,USA,3860.0
48,445700.0,3.0,2.0,3.0,0,0,Seattle,USA,2540.0
49,838000.0,4.0,2.0,2.0,0,0,Redmond,USA,6620.0
50,630000.0,4.0,3.0,2.0,0,0,Issaquah,USA,5420.0
51,550000.0,3.0,2.0,2.0,0,0,Sammamish,USA,5820.0
52,805000.0,3.0,2.0,2.0,0,0,Seattle,USA,5420.0
53,284000.0,3.0,2.0,1.0,0,0,Carnation,USA,3600.0
54,470000.0,5.0,2.0,1.0,0,0,Bothell,USA,4420.0
55,430000.0,4.0,2.0,1.0,0,0,Bellevue,USA,3840.0
56,491500.0,4.0,2.0,1.0,0,2,Auburn,USA,4380.0
